pid,count,mean,std,min,0.25,0.5,0.75,max,no_min_moves
pid=55,100,5.28,0.711805217,5,5,5,5,8,86
pid=75,100,6.69,3.904659222,5,5,5,7,29,62
pid=58,100,5.41,0.975404604,5,5,5,5,10,83
pid=78,100,5.36,0.958955661,5,5,5,5,10,84
pid=86,100,5.51,3.236455849,5,5,5,5,37,89
pid=62,100,6.22,3.9532112,5,5,5,6,37,72
pid=76,100,5.28,0.711805217,5,5,5,5,9,84
pid=56,100,5.32,0.736905898,5,5,5,5,9,81
pid=88,100,6.04,3.762977544,5,5,5,5,39,77
pid=85,100,5.28,0.697470176,5,5,5,5,8,85
pid=61,100,5.17,0.532859638,5,5,5,5,7,90
pid=89,100,5.36,0.893523272,5,5,5,5,9,83
pid=60,100,5.33,0.766139476,5,5,5,5,9,82
pid=84,100,5.97,2.071719142,5,5,5,6.25,19,68
pid=57,100,5.23,0.679497735,5,5,5,5,9,88
pid=77,100,5.22,0.690191014,5,5,5,5,9,89
pid=63,100,5.4,0.932033727,5,5,5,5,9,82
pid=87,100,5.31,0.720479638,5,5,5,5,7,84
pid=74,100,5.37,0.812217317,5,5,5,5,8,80
pid=54,100,5.18,0.557411043,5,5,5,5,7,90
pid=79,100,5.25,0.687184271,5,5,5,5,8,88
pid=59,100,5.44,0.891259465,5,5,5,5,9,79
pid=81,100,5.34,0.819213715,5,5,5,5,9,84
pid=65,100,5.24,0.6375458,5,5,5,5,7,87
pid=68,100,5.2,0.586032715,5,5,5,5,7,89
pid=52,100,5.91,6.910824477,5,5,5,5,74,88
pid=72,100,5.95,2.311040694,5,5,5,5.25,17,75
pid=82,100,5.84,2.312548116,5,5,5,5,20,79
pid=66,100,5.23,0.633333333,5,5,5,5,8,87
pid=71,100,6.16,2.32561494,5,5,5,7,20,64
pid=51,100,5.28,0.725857208,5,5,5,5,9,85
pid=50,100,5.34,0.855404683,5,5,5,5,9,84
pid=70,100,5.41,1.137914094,5,5,5,5,11,85
pid=67,100,5.28,0.68283426,5,5,5,5,8,84
pid=83,100,5.22,0.628932075,5,5,5,5,8,88
pid=73,100,5.24,0.780054388,5,5,5,5,9,90
pid=53,100,5.68,1.662904846,5,5,5,6,17,74
pid=64,100,5.25,0.625630995,5,5,5,5,7,85
pid=80,100,5.19,0.563090319,5,5,5,5,7,89
pid=69,100,6.57,3.300612126,5,5,5,7,20,67